Car_Name,company,Year,Present_Price,Kms_Driven,Fuel_Type,Selling_Price
ritz,maruti suzuki,2014,5.59,27000,Petrol,3.35
sx4,maruti suzuki,2013,9.54,43000,Diesel,4.75
ciaz,maruti suzuki,2017,9.85,6900,Petrol,7.25
wagon r,maruti suzuki,2011,4.15,5200,Petrol,2.85
swift,maruti suzuki,2014,6.87,42450,Diesel,4.6
vitara brezza,maruti suzuki,2018,9.83,2071,Diesel,9.25
ciaz,maruti suzuki,2015,8.12,18796,Petrol,6.75
s cross,maruti suzuki,2015,8.61,33429,Diesel,6.5
ciaz,maruti suzuki,2016,8.89,20273,Diesel,8.75
ciaz,maruti suzuki,2015,8.92,42367,Diesel,7.45
alto 800,maruti suzuki,2017,3.6,2135,Petrol,2.85
ciaz,maruti suzuki,2015,10.38,51000,Diesel,6.85
ciaz,maruti suzuki,2015,9.94,15000,Petrol,7.5
ertiga,maruti suzuki,2015,7.71,26000,Petrol,6.1
dzire,maruti suzuki,2009,7.21,77427,Petrol,2.25
ertiga,maruti suzuki,2016,10.79,43000,Diesel,7.75
ertiga,maruti suzuki,2015,10.79,41678,Diesel,7.25
ertiga,maruti suzuki,2016,10.79,43000,Diesel,7.75
wagon r,maruti suzuki,2015,5.09,35500,CNG,3.25
sx4,maruti suzuki,2010,7.98,41442,Petrol,2.65
alto k10,maruti suzuki,2016,3.95,25000,Petrol,2.85
ignis,maruti suzuki,2017,5.71,2400,Petrol,4.9
sx4,maruti suzuki,2011,8.01,50000,Petrol,4.4
alto k10,maruti suzuki,2014,3.46,45280,Petrol,2.5
wagon r,maruti suzuki,2013,4.41,56879,Petrol,2.9
swift,maruti suzuki,2011,4.99,20000,Petrol,3
swift,maruti suzuki,2013,5.87,55138,Petrol,4.15
swift,maruti suzuki,2017,6.49,16200,Petrol,6
alto k10,maruti suzuki,2010,3.95,44542,Petrol,1.95
ciaz,maruti suzuki,2015,10.38,45000,Diesel,7.45
ritz,maruti suzuki,2012,5.98,51439,Diesel,3.1
ritz,maruti suzuki,2011,4.89,54200,Petrol,2.35
swift,maruti suzuki,2014,7.49,39000,Diesel,4.95
ertiga,maruti suzuki,2014,9.95,45000,Diesel,6
dzire,maruti suzuki,2014,8.06,45000,Diesel,5.5
sx4,maruti suzuki,2011,7.74,49998,CNG,2.95
dzire,maruti suzuki,2015,7.2,48767,Petrol,4.65
800,maruti suzuki,2003,2.28,127000,Petrol,0.35
